2025-10-09 23:30:15.552 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bff608627ea82d5131wt5ubattery_percentage already exists - ignoring sensor.porte_chambre_parentale_batterie
2025-10-09 23:30:15.552 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf47e945a89287e2feznihbattery_percentage already exists - ignoring sensor.capteur_garage_batterie
2025-10-09 23:30:15.552 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf71717cac3ee1c543kle8battery_percentage already exists - ignoring sensor.capteur_chambre_aaron_batterie
2025-10-09 23:30:15.552 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf48d537526a98951anulebattery_percentage already exists - ignoring sensor.interrupteur_bureau_batterie
2025-10-09 23:30:15.553 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf79bdf02e9d3eed0fxhjbbattery_percentage already exists - ignoring sensor.portail_batterie
2025-10-09 23:30:15.553 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bfcf3c0ea945ada0ab79vobattery_percentage already exists - ignoring sensor.bureau_prive_porte_batterie
2025-10-09 23:30:15.553 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf8c7a0809b8695f76wcahbattery_percentage already exists - ignoring sensor.porte_garage_batterie
2025-10-09 23:30:15.553 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf029735c98ebd00a8bladva_temperature already exists - ignoring sensor.temperature_exterieure_temperature
2025-10-09 23:30:15.553 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf029735c98ebd00a8bladva_humidity already exists - ignoring sensor.temperature_exterieure_humidite
2025-10-09 23:30:15.553 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf029735c98ebd00a8bladbattery_percentage already exists - ignoring sensor.temperature_exterieure_batterie
2025-10-09 23:30:15.553 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf8d42b594d7da1ea44dvxwireless_electricity already exists - ignoring sensor.sonnette_exterieur_batterie
2025-10-09 23:30:15.554 ERROR (MainThread) [homeassistant.components.siren] Platform tuya does not generate unique IDs. ID tuya.bfe3241c52d8d33d79gocasiren_switch already exists - ignoring siren.360camera
